BLS Job Title,LONG_OCC_CODE,Percentage with AA Degree or Less,Percentage with BA Degree or More,Total Employment (National),Mean Annual Wage (National),Annual Wage 10th Pct (National),Annual Wage 25th Pct (National),Median Annual Wage (National),Annual Wage 75th Pct (National),Annual Wage 90th Pct (National),Typical education needed for entry,Work experience in a related occupation,Non-Entry Level,BA Entry Level,Middle Skilled,Low Wage
Diesel Mechanic,49-3031.00,96.2,3.7,266330.0,50360.0,31990.0,38810.0,48500.0,60160.0,74090.0,High school diploma or equivalent,None,False,False,True,False
Mechanical / Electrical Drafter,17-3013.00,72.30000000000003,27.6,55210.0,60500.0,36350.0,45050.0,57060.0,72460.0,92010.0,Associate's degree,None,False,False,True,False
Clinical Supervisor / Manager,11-9111.00,37.5,62.40000000000001,394910.0,115160.0,58820.0,76770.0,100980.0,133520.0,189000.0,Bachelor's degree,Less than 5 years,False,True,False,False
Vice President of Marketing,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Retail Sales Representative,41-2031.00,73.7,26.3,4317950.0,29360.0,18900.0,21780.0,25250.0,31480.0,42780.0,No formal educational credential,None,False,False,False,True
Human Resources Consultant,13-1071.92,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Police Officer,33-3051.01,60.2,39.8,665280.0,67600.0,36960.0,47190.0,63150.0,84440.0,105230.0,High school diploma or equivalent,None,False,False,False,False
Assistant Retail Store Manager,41-1011.00,73.7,26.4,1171900.0,45830.0,26290.0,31960.0,40350.0,54290.0,70060.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Automotive Service Manager,49-1011.00,85.39999999999998,14.6,485700.0,70550.0,40880.0,52300.0,67460.0,85960.0,105810.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Market Research Analyst,13-1161.91,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Marketing Campaign Analyst,13-1161.91,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Senior Insurance Underwriter,13-2053.00,41.90000000000001,58.2,100050.0,77640.0,42360.0,53510.0,70020.0,94390.0,124320.0,Bachelor's degree,None,False,True,False,False
Physician Assistant,29-1071.91,6.1,93.8,120090.0,112410.0,72720.0,92800.0,112260.0,130530.0,157120.0,Master's degree,None,False,True,False,False
Parts Specialist,41-2022.00,92.8,7.2,256170.0,35220.0,20570.0,24840.0,31710.0,41980.0,56090.0,No formal educational credential,None,False,False,True,False
Farm / Ranch Manager,11-9013.02,75.8,24.2,5060.0,80360.0,37530.0,53870.0,71160.0,99260.0,132760.0,High school diploma or equivalent,5 years or more,True,False,False,False
Valet / Parking Lot Attendant,53-6021.00,86.8,13.1,147390.0,26450.0,18850.0,21620.0,25140.0,29900.0,36000.0,No formal educational credential,None,False,False,False,True
Vocational Education Instructor,25-1194.00,6.7,93.3,112210.0,60420.0,32840.0,41970.0,54620.0,72460.0,99230.0,Bachelor's degree,Less than 5 years,False,True,False,False
Grinder / Sharpener,51-4033.00,96.0,3.9,76810.0,37860.0,25180.0,29360.0,36100.0,44810.0,53660.0,High school diploma or equivalent,None,False,False,True,False
Compensation / Benefits Analyst,13-1141.00,45.6,54.5,89300.0,69840.0,40140.0,50000.0,64560.0,82920.0,105600.0,Bachelor's degree,Less than 5 years,False,True,False,False
Compliance Auditor,13-2011.02,19.7,80.10000000000002,1280700.0,79520.0,44480.0,55900.0,71550.0,94340.0,124450.0,Bachelor's degree,None,False,True,False,False
Customer Experience Manager,43-1011.92,63.8,36.1,1487870.0,60130.0,34290.0,43360.0,56620.0,72480.0,91570.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Technical Writer,27-3042.00,22.5,77.4,50760.0,76860.0,44320.0,56570.0,72850.0,93590.0,117250.0,Bachelor's degree,Less than 5 years,False,True,False,False
Director of Quality Assurance,11-3051.01,54.89999999999999,45.2,185790.0,115110.0,65050.0,82400.0,105480.0,136880.0,176070.0,Bachelor's degree,5 years or more,True,False,False,False
Staffing Manager,11-3121.92,40.8,59.2,154800.0,129570.0,68300.0,88150.0,116720.0,156560.0,205720.0,Bachelor's degree,5 years or more,True,False,False,False
Head Cashier,41-2011.00,88.19999999999997,11.8,3596630.0,24370.0,18150.0,20320.0,23650.0,26550.0,31270.0,No formal educational credential,None,False,False,False,True
Interpreter / Translator,27-3091.00,45.6,54.40000000000001,58870.0,57000.0,28170.0,37740.0,51830.0,71590.0,94370.0,Bachelor's degree,None,False,True,False,False
Logistics Operations Supervisor,11-1021.91,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Recruiting Assistant,13-1071.91,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Special Education Teacher,25-2059.00,14.7,85.4,35600.0,65350.0,34180.0,45730.0,61190.0,81510.0,100890.0,Bachelor's degree,None,False,True,False,False
Vice President of Operations,11-1021.91,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
